sample,IGH_umis,IGH_ucdr3,IGH_Shannon,IGH_Pielou_evenness,IGH_Simpson,IGH_Simpson_evenness,IGH_Gini_index,IGH_d50,IGH_Largest_clone_percent,IGHA_percent_by_reads,IGHD_percent_by_reads,IGHE_percent_by_reads,IGHG1_percent_by_reads,IGHG2_percent_by_reads,IGHG3_percent_by_reads,IGHM_percent_by_reads,IGHA_percent_by_clone,IGHD_percent_by_clone,IGHE_percent_by_clone,IGHG1_percent_by_clone,IGHG2_percent_by_clone,IGHG3_percent_by_clone,IGHM_percent_by_clone,class_switched_percent_by_reads,naive_mutated_percent_by_reads,naive_unmutated_percent_by_reads,IGHM_IGHD_mutated_by_reads,class_switched_percent_by_clone,naive_mutated_percent_by_clone,naive_unmutated_percent_by_clone,IGHM_IGHD_mutated_by_clone,IGHA-IGHG1_CSR0,IGHA-IGHG1_CSR1,IGHA-IGHG2_CSR0,IGHA-IGHG2_CSR1,IGHA-IGHG3_CSR0,IGHA-IGHG3_CSR1,IGHA-IGHM_IGHD_CSR0,IGHA-IGHM_IGHD_CSR1,IGHG1-IGHG2_CSR0,IGHG1-IGHG2_CSR1,IGHG1-IGHG3_CSR0,IGHG1-IGHG3_CSR1,IGHG1-IGHM_IGHD_CSR0,IGHG1-IGHM_IGHD_CSR1,IGHG2-IGHG3_CSR0,IGHG2-IGHG3_CSR1,IGHG2-IGHM_IGHD_CSR0,IGHG2-IGHM_IGHD_CSR1,IGHG3-IGHM_IGHD_CSR0,IGHG3-IGHM_IGHD_CSR1,IGHA_observed_as_other_isotype,IGHG1_observed_as_other_isotype,IGHG2_observed_as_other_isotype,IGHG3_observed_as_other_isotype,IGHM_IGHD_observed_as_other_isotype,IGHA_SHM0,IGHG2_SHM0,IGHM_IGHD_SHM0,IGHA_SHM1,IGHG2_SHM1,IGHM_IGHD_SHM1,IGH_SHM0,IGH_SHM1,IGHG1_SHM0,IGHG1_SHM1,IGHG3_SHM0,IGHG3_SHM1
E1,2215,133,5.702119112,0.808205648,0.966419192,0.22390161,0.67932246,8.270676692,10.11286682,48.80361174,10.248307,0,0,0.135440181,0,40.81264108,22.22222222,17.77777778,0,0,1.481481481,0,58.51851852,48.93905192,12.23476298,38.8261851,23.96109637,19.6,52,28.4,64.67661692,0,0,0,0,0,0,0.025282167,0.015037594,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,,0,,0.019417476,0.023671672,0.015774467,0.002850667,0.028158207,0.015774467,0.008727115,0.013029573,0.012387004,,,,
E1_r,3141,157,5.710372111,0.782819602,0.953247865,0.136238201,0.697349824,8.280254777,17.637695,36.54886979,15.91849729,0,0.031836995,0,0,47.50079592,12.5,18.75,0,0.625,0,0,68.125,36.58070678,12.67112385,50.74816937,19.97991968,14.47368421,51.97368421,33.55263158,60.76923077,0,0,0,0,0,0,0.010506208,0.006369427,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,,,0.00729927,0.046532738,,0.002301094,0.030870833,,0.007366367,0.018466528,0.01066678,0,0,,
E2,3312,128,4.265609248,0.60937275,0.866297565,0.058431995,0.826799328,1.5625,29.95169082,72.22222222,4.740338164,0,0,1.690821256,0,21.34661836,32.82442748,5.34351145,0,0,3.053435115,0,58.77862595,73.91304348,9.057971014,17.02898551,34.72222222,36.70886076,40.92827004,22.3628692,64.66666667,0,0,0,0,0,0,0.032608696,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,,0,,0.035714286,0.043091895,0.021702256,0.007015436,0.04525593,0.038697414,0.010243753,0.033318984,0.022902613,,,,
E2_r,4183,126,4.488089204,0.643243392,0.902971278,0.081795449,0.815348595,2.380952381,19.05331102,72.31651924,12.2878317,0,0,0,0,15.39564906,29.77099237,20.61068702,0,0,0,0,49.61832061,72.31651924,5.522352379,22.16112838,19.94818653,34.8,35.6,29.6,54.60122699,0,0,0,0,0,0,0.041118814,0.03968254,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128,,,,0.054347826,0.042540121,,0.003457817,0.044939447,,0.008589968,0.031720779,0.021239586,,,,
E3,2381,138,5.663406996,0.796706409,0.961394817,0.187704763,0.681597672,6.52173913,11.9697606,57.53884922,10.16379672,0,0,0,0,32.29735405,29.37062937,13.98601399,0,0,0,0,56.64335664,57.53884922,9.617807644,32.84334313,22.65084075,30.90277778,40.625,28.47222222,58.79396985,0,0,0,0,0,0,0.065098698,0.036231884,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619,,,,0.04950495,0.019227813,,0.003915177,0.025740328,,0.00935287,0.012725891,0.014417049,,,,
E3_r,2595,120,5.25460073,0.760776598,0.94746901,0.158636518,0.726390495,5.833333333,17.0327553,63.89210019,8.439306358,0,0,0.038535645,0,27.6300578,28.92561983,11.57024793,0,0,0.826446281,0,58.67768595,63.93063584,8.285163776,27.78420039,22.97008547,31.77570093,40.18691589,28.03738318,58.90410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.021322589,0,0.004729583,0.03072811,0,0.011356889,0.015329381,0.017368641,,,,
E4,2530,89,4.854045391,0.749574615,0.943580434,0.199149973,0.733294844,5.617977528,14.54545455,70.75098814,5.731225296,0,0,0,0,23.51778656,49.46236559,7.52688172,0,0,0,0,43.01075269,70.75098814,6.166007905,23.08300395,21.08108108,40.36144578,38.55421687,21.08433735,64.64646465,0,0,0,0,0,0,0.05256917,0.04494382,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,,,,0.085106383,0.04436713,,0.002441252,0.043728366,,0.008316916,0.032104225,0.022609489,,,,
E4_r,3105,136,5.677778318,0.80110167,0.96679907,0.221467925,0.689229895,8.088235294,10.69243156,44.44444444,7.922705314,0,0,0,0,47.63285024,28.67132867,20.27972028,0,0,0,0,51.04895105,44.44444444,20.80515298,34.75040258,37.44927536,27.64227642,43.08943089,29.26829268,59.5505618,0,0,0,0,0,0,0.158776167,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0.097560976,,,,0.04040404,0.043915385,,0.008346962,0.041854454,,0.00894495,0.02415515,0.018041886,,,,
L1,44772,11856,12.71699148,0.939679424,0.998776903,0.068960554,0.433439594,21.7611336,2.791923524,1.306620209,13.46600554,0.042437238,0.752702582,4.833378004,0.196551416,79.40230501,0.904264145,16.15231458,0.024888004,0.348432056,1.368840219,0.190808031,81.01045296,7.131689449,22.75529349,70.11301706,24.50275379,3.463646768,37.18450696,59.35184627,38.51865718,0,0,0.001876173,0.000168691,0,0,0.015009381,0.001096491,0.002836594,0.000337382,0,0,0.000536049,0.000168691,6.70E-05,8.43E-05,0.016974895,0.001939946,0.001005092,0.000168691,0.128440367,0.119047619,0.16969697,0.130434783,0.003373702,0.013470333,0.002520119,0.003724591,0.021793787,0.011422573,0.005693749,0.003895969,0.006039365,0.015131331,0.016287473,0.01161648,0.011656777
L1_r,48419,12214,12.73484611,0.938023966,0.998590153,0.058072438,0.435645272,21.6800393,3.137198207,1.133852413,13.22001694,0.028914269,0.735248559,5.766331399,0.198269274,78.91736715,0.724987917,16.1108426,0.056387949,0.265828903,1.417754149,0.144997583,81.2792009,7.862615915,21.80755489,70.3298292,23.66851968,3.244959144,36.48815472,60.26688613,37.71189015,0,0,0,0,0.001156571,8.19E-05,0.01164832,0.000818733,0.000413061,0.000163747,0,0,0.002829468,0.00049124,0.002664243,0.000163747,0.012928809,0.002292451,0.001404407,0.00049124,0.122222222,0.242424242,0.181818182,0.5,0.004352557,0.021764454,0.002184888,0.003720304,0.027324973,0.011545593,0.005619761,0.003923366,0.005983304,0.014321981,0.016757549,0.007954028,0.015731829
