sample,IGH_reads,IGH_ucdr3,,class_switched_mutated_percent_by_reads,class_switched_unmutated_percent_by_reads,naive_mutated_percent_by_reads,naive_unmutated_percent_by_reads,,class_switched_mutated_percent_by_clone,class_switched_unmutated_percent_by_clone,naive_mutated_percent_by_clone,naive_unmutated_percent_by_clone,,IGH_mutated_by_reads,IGH_mutated_by_clone,,IGH_SHM0_undivided,IGHA_SHM0_undivided,IGHG1_SHM0_undivided,IGHG2_SHM0_undivided,IGHG3_SHM0_undivided,IGHM_IGHD_SHM0_undivided,,IGH_SHM1_undivided,IGHA_SHM1_undivided,IGHG1_SHM1_undivided,IGHG2_SHM1_undivided,IGHG3_SHM1_undivided,IGHM_IGHD_SHM1_undivided,,IGH_SHM0_gt0_undivided,IGHA_SHM0_gt0_undivided,IGHG1_SHM0_gt0_undivided,IGHG2_SHM0_gt0_undivided,IGHG3_SHM0_gt0_undivided,IGHM_IGHD_SHM0_gt0_undivided,,IGH_SHM1_gt0_undivided,IGHA_SHM1_gt0_undivided,IGHG1_SHM1_gt0_undivided,IGHG2_SHM1_gt0_undivided,IGHG3_SHM1_gt0_undivided,IGHM_IGHD_SHM1_gt0_undivided
E1,2215,133,,27.81038375,21.12866817,12.23476298,38.8261851,,16.8,2.8,52,28.4,,40.04514673,68.8,,1.870428894,3.395929695,,2.333333333,,0.411140584,,1.78,4.043478261,,2.333333333,,1.253731343,,4.670800451,5.98858075,,2.333333333,,1.715867159,,2.587209302,4.769230769,,2.333333333,,1.938461538
E1_r,3141,157,,26.01082458,10.5698822,12.67112385,50.74816937,,12.82894737,1.644736842,51.97368421,33.55263158,,38.68194842,64.80263158,,2.629735753,6.619337979,0,,,0.331827309,,1.539473684,4.441860465,0,,,1.065384615,,6.798353909,9.301101591,,,,1.66080402,,2.375634518,4.897435897,,,,1.753164557
E2,3312,128,,68.84057971,5.072463768,9.057971014,17.02898551,,33.75527426,2.953586498,40.92827004,22.3628692,,77.89855072,74.6835443,,4.793780193,6.199414716,,3.125,,1.010416667,,3.291139241,6.5,,5.571428571,,1.473333333,,6.153875969,6.620089286,,4.375,,2.91,,4.406779661,7.027027027,,6.5,,2.278350515
E2_r,4183,126,,65.52713364,6.789385608,5.522352379,22.16112838,,32.8,2,35.6,29.6,,71.04948601,68.4,,4.563710256,6.12,,,,0.498272884,,3.056,6.459770115,,,,1.239263804,,6.423283984,6.754104341,,,,2.497835498,,4.467836257,6.853658537,,,,2.269662921
E3,2381,138,,33.85132297,23.68752625,9.617807644,32.84334313,,26.38888889,4.513888889,40.625,28.47222222,,43.46913062,67.01388889,,1.829063419,2.762773723,,,,0.56379822,,2.069444444,3.685393258,,,,1.346733668,,4.207729469,4.696029777,,,,2.489082969,,3.088082902,4.315789474,,,,2.290598291
E3_r,2595,120,,40.80924855,23.12138728,8.285163776,27.78420039,,28.97196262,2.803738318,40.18691589,28.03738318,,49.09441233,69.1588785,,2.212331407,3.049457177,,0,,0.731837607,,2.53271028,4.402985075,,0,,1.691780822,,4.506279435,4.774315392,,,,3.186046512,,3.662162162,4.758064516,,,,2.872093023
E4,2530,89,,70,0.750988142,6.166007905,23.08300395,,36.14457831,4.21686747,38.55421687,21.08433735,,76.16600791,74.69879518,,4.609090909,6.369273743,,,,0.351351351,,3.246987952,6.268656716,,,,1.202020202,,6.051375195,6.437605872,,,,1.666666667,,4.346774194,7,,,,1.859375
E4_r,3105,136,,40.25764895,4.186795491,20.80515298,34.75040258,,24.3902439,3.25203252,43.08943089,29.26829268,,61.06280193,67.4796748,,3.465378422,6.297101449,,,,1.2,,2.593495935,6.014705882,,,,1.286516854,,5.675105485,6.952,,,,3.204334365,,3.843373494,6.816666667,,,,2.160377358
L1,44772,11856,,1.764495667,5.367193782,22.75529349,70.11301706,,2.445635805,1.018010963,37.18450696,59.35184627,,24.51978915,39.63014276,,0.562807112,1.92991453,2.181008902,0.362292052,1.681818182,0.538396787,,0.871814951,3.126262626,2.35,1.645038168,1.6875,0.822226382,,2.295317909,4.375968992,3.533653846,2.84057971,3.363636364,2.197290931,,2.199878401,3.893081761,2.984126984,2.596385542,3.176470588,2.1346185
L1_r,48419,12214,,1.720399017,6.142216898,21.80755489,70.3298292,,2.251484334,0.99347481,36.48815472,60.26688613,,23.5279539,38.73963906,,0.565831595,3.111111111,2.06741573,0.315544413,1.145833333,0.536851071,,0.862500735,3.909677419,2.418918919,1.667832168,2.259259259,0.810316544,,2.404933287,6.887096774,3.5215311,2.66969697,2.682926829,2.268207217,,2.226403642,5.269565217,3.196428571,2.578378378,2.772727273,2.148703077
